Date,Smooth Strafe Sphere Easy,Adjust Track VALORANT Easy,BerryTS Static Entry,ww4t Small Pokeball,Sphere Hipfire Small Pokeball,VT 1w4ts Clusters,Angleshot Micro VALORANT Multi,TwoShot Pressure
30th Mar 2024,1338,1348,600,49,67,530,32,522
31st Mar 2024,1463,1275,537,48,73,516,39,568
1st April 2024,1325,1260,525,50,73,591,51,632
2nd April 2024,1597,1194,536,45,73,586,53,315
3rd April 2024,1588,1335,523,53,78,559,71,495
4th April 2024,1422,1555,606,53,85,585,62,753
5th April 2024,1570,1579,655,49,81,551,77,647
6th April 2024,1621,1612,590,48,74,553,71,583
7th April 2024,1466,1243,596,57,85,543,48,533
8th April 2024,1306,1422,599,54,82,607,67,512
9th April 2024,1367,1714,640,57,89,683,59,746
10th April 2024,1406,1613,647,53,82,658,68,558
11th April 2024,1471,1669,690,56,83,637,65,690
12th April 2024,1618,1546,715,53,84,601,42,479
13th April 2024,1513,1648,686,57,80,660,66,575
14th April 2024,1575,1545,603,51,78,562,58,641
15th April 2024,1568,1563,647,53,80,591,51,476
16th April 2024,1432,1513,693,55,83,686,71,520
17th April 2024,1342,1484,747,57,90,618,99,635
18th April 2024,1129,1478,525,51,72,535,68,149
19th April 2024,1406,1695,541,53,76,527,85,219
20th April 2024,1486,1399,676,52,88,527,78,618
21st April 2024,1465,1305,607,58,87,673,84,568
22nd April 2024,1750,1736,727,61,85,658,97,597
23rd April 2024,1709,1662,680,58,84,688,68,645
1st May 2024,1492,1793,630,57,77,577,80,603
2nd May 2024,1722,1521,610,51,82,611,58,495
3rd May 2024,1705,1844,700,56,93,664,51,763
4th May 2024,1744,1688,657,61,88,611,92,731
6th May 2024,1684,1914,715,65,88,673,90,600
7th May 2024,1737,1812,608,58,84,609,96,764
8th May 2024,1692,1708,700,60,86,626,96,768
9th May 2024,1745,1766,686,64,87,691,91,746
10th May 2024,1724,1633,680,60,89,693,86,623
11th May 2024,1645,1658,715,62,93,663,98,623
12th May 2024,1538,1862,611,60,86,624,107,464
13th May 2024,1700,1714,665,59,86,623,90,733
14th May 2024,1870,1857,647,59,87,640,94,549
15th May 2024,1666,1975,715,63,79,674,60,739
16th May 2024,1803,1948,714,63,90,698,101,718
17th May 2024,1828,1815,663,61,93,654,76,569
18th May 2024,1786,1811,677,62,86,761,105,811
19th May 2024,1764,1862,640,59,91,636,118,861
22nd May 2024,1688,1986,720,68,88,680,90,659
24th May 2024,1746,1923,708,58,89,690,96,816
25th May 2024,1793,1927,717,63,95,742,107,708
26th May 2024,1703,1845,681,65,96,701,89,708
27th May 2024,1557,1810,710,61,85,712,87,733
28th May 2024,1904,2213,726,63,90,722,88,670
7th June 2024,1727,1994,736,61,95,658,79,677
14th June 2024,1655,1894,722,62,90,673,103,716
15th June 2024,1847,2042,710,63,97,712,102,835
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,, ,,
